chrom,intron,splice_donor,splice_acceptor,coding_exon,3utr,5utr,intergenic
chr1,137214962,60507,59366,2799537,4993108,955749,84412771
chr2,143704705,47969,46798,1952406,3632327,644772,90523023
chr3,123589451,37388,36178,1428893,3048441,621650,69336999
chr4,103777560,25582,24843,1054142,2123502,419643,82324728
chr5,101221565,28313,27723,1190367,2534330,450300,75813402
chr6,95619541,30024,29489,1373966,2576888,491676,69960416
chr7,93784989,30481,29608,1247936,2344138,472124,61063724
chr8,87071208,23591,22763,901428,1776055,370224,54608731
chr9,65873022,24288,23872,1102076,1942352,345709,52488681
chr10,76184332,24923,24442,1058211,2020097,340628,53613367
chr11,77670484,33840,32872,1591233,2644290,692772,51866509
chr12,80045605,34529,33683,1317279,2843239,584192,48287473
chr13,47735015,12271,12054,528988,1031408,170075,48496189
chr14,53847974,20075,19706,811627,1814620,369364,33686634
chr15,56420262,24065,23481,879472,1956564,315873,25031283
chr16,49012311,27741,27120,1013162,2010132,458609,29257925
chr17,50735758,35011,33856,1399038,2669003,583295,27470039
chr18,40461421,11096,10752,410993,1023314,166982,38006442
chr19,34165839,32927,32668,1713273,2586766,650248,19258279
chr20,33467328,14675,14561,691143,1118652,227375,28417266
chr21,20679432,7628,7480,256832,503633,101909,18538086
chr22,22142613,13248,12955,549662,973585,207785,15265152
chrX,66655031,20142,19948,1097654,1829472,396635,84874118
chrY,8117510,3931,3990,81999,79497,20535,18137538
