chrom,intron,splice_donor,splice_acceptor,coding_exon,3utr,5utr,intergenic
chr1,30.193411386143158,28.656733931611218,27.628204696290805,30.317541079114157,29.65719327521055,30.1929910468125,30.760842728406583
chr2,30.00103547062012,28.572307115011775,27.744903628360188,30.18332201396636,29.49084925448617,30.04041428598016,30.523753078816203
chr3,30.146954038981853,28.704423879319567,27.855215877052352,30.180177941945267,29.528022028308897,29.97766910641036,30.6600731306528
chr4,30.09714142440813,28.88683449300289,27.857344121080384,30.041628167742108,29.30839999208854,29.90516224505115,30.48998330125063
chr5,30.09354211229593,28.898068025288737,27.805215885726653,30.280430321069048,29.50403144026232,30.044830113257827,30.521470280412952
chr6,29.973002610418305,28.624600319744204,27.845908643901115,30.235984733246674,29.474819239330543,30.14895174871257,30.513938482012456
chr7,30.00086411483185,28.7321282110167,27.58224128613888,30.24365191804708,29.397193765896034,29.996555989528176,30.63443235135807
chr8,30.13443335941773,28.86935695816201,27.925229539164437,30.089302750746597,29.305789516653483,30.001766498120052,30.615304556335506
chr9,30.113088572132003,28.700551712779973,27.36653820375335,30.22279770179189,29.540731031244597,30.086078175575413,30.637608439808197
chr10,29.98624925923089,28.684829274164425,27.617952704361347,30.09903506956552,29.553732320774696,29.932040231572277,30.51833536214952
chr11,30.25116157380969,28.7346926713948,27.35230591384765,30.480903173828093,29.738909499336305,30.04711795511366,30.81652298981603
chr12,30.200077780660163,28.72553505748791,27.73119971498976,30.2355423566306,29.70511589071478,30.14957924791849,30.769416697369937
chr13,29.88854602852853,28.694727406079373,27.83648581383773,30.09653527112146,28.98833633246979,29.96503307364398,30.35698935023533
chr14,30.105086962046148,28.793275217932752,27.75591190500355,30.401758443225766,29.501581047271603,30.169461560953422,30.635527699205568
chr15,30.164534453952022,28.32187824641596,27.82206890677569,30.197577637491587,29.704856063997905,30.16261282224185,30.662051202089803
chr16,30.205411493451106,28.56991456688656,27.21788348082596,30.225669734948607,29.64143847269732,30.096430728572702,30.77623525933572
chr17,30.12248542733904,28.110108251692324,27.47758152173913,30.353041875917597,29.774993134140352,30.07078750889344,30.888099976851144
chr18,29.920944743883314,28.855894015861573,27.907366071428573,30.1264036127136,29.41261626441151,29.92154843036974,30.46057636755369
chr19,30.754513916663957,29.30579767364169,27.9041263621893,30.88122850240446,30.79260165009127,30.71486417489942,31.25959453593958
chr20,30.239991701757607,28.86310051107325,27.480461506764644,30.29287426769858,29.83742754672588,30.234586036283677,30.85527323423724
chr21,29.823328899942705,28.516124803356057,27.419786096256683,29.994809836780465,29.16536644739324,29.728375315232217,30.453099149502272
chr22,30.185101460247715,28.28985507246377,27.46993438826708,30.387703716101896,29.86190830795462,30.09422239333927,30.922327402963298
chrX,30.24826375071373,28.70047661602621,27.550832163625422,30.240228705949235,29.504663640656972,29.981254806055947,30.973510475831983
chrY,29.69667915407557,27.78860340880183,26.355889724310774,29.936962645885924,29.4820056102746,29.31166301436572,30.582951280377745
